City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score,Pollution_Index_Adjusted,Safety_Score_Adjusted,Price_Score,Pollution_Score,Hospital_Score,School_Score,Metro_Score,Grocery_Score,Location_Score
Hyderabad,Banjara Hills,10123,54456,7.8,198,2.55,3.16,1.86,0.3,87,1,7.2,6.3,5.5,208,7.8999999999999995,11877,42,2.45,1.8399999999999999,3.1399999999999997,4.7,2390.2445000000002
Delhi NCR,South Delhi,10177,48049,6.5,121,1.66,2.24,2.61,0.23,72,1,6.8,8.2,6.8,141,6.1,11823,109,3.34,2.76,2.39,4.77,2389.9139999999998
Delhi NCR,Dwarka Sec 12,10205,43680,6.2,81,2.9,1.32,1.86,0.37,66,1,7.5,6.9,5.7,101,5.8,11795,149,2.1,3.6799999999999997,3.1399999999999997,4.63,2389.8575
Mumbai,Kandivali West,10228,33331,8.7,72,1.48,2.56,1.6,0.87,68,1,6.5,7.3,6.5,77,8.899999999999999,11772,173,3.52,2.44,3.4,4.13,2389.6735
Bengaluru,Rajajinagar,10206,64757,9.4,107,1.58,3.36,1.97,0.66,88,1,9.2,7.3,7.8,115,9.9,11794,135,3.42,1.6400000000000001,3.0300000000000002,4.34,2389.4645
Pune,Baner,10219,44587,9.4,81,3.07,3.33,1.81,0.39,65,1,8.7,8.6,6.2,96,10.0,11781,154,1.9300000000000002,1.67,3.19,4.61,2389.385
Bengaluru,Marathahalli,10123,27870,7.3,218,1.85,1.34,1.54,0.89,62,1,8.7,6.9,9.4,226,7.8,11877,24,3.15,3.66,3.46,4.11,2389.3570000000004
Mumbai,Thane West,10154,45569,6.1,171,3.25,3.44,0.66,0.28,96,1,7.0,6.9,8.1,176,6.3,11846,74,1.75,1.56,4.34,4.72,2389.2305000000006
Chennai,Porur,10207,45317,7.7,106,2.14,2.41,0.88,0.48,106,1,7.4,6.2,8.9,111,8.0,11793,139,2.86,2.59,4.12,4.52,2389.1884999999997
Pune,Kharadi,10188,43936,8.0,125,1.62,2.64,1.83,0.21,103,1,7.6,7.4,8.8,140,8.6,11812,110,3.38,2.36,3.17,4.79,2389.055
Delhi NCR,Ghaziabad,10136,63731,5.9,186,2.47,1.01,1.05,0.98,73,1,7.4,8.8,7.0,206,5.5,11864,44,2.53,3.99,3.95,4.02,2388.7485
Delhi NCR,Dwarka Sec 12,10216,53388,6.7,79,1.71,1.95,0.84,1.17,63,1,7.3,8.6,5.6,99,6.3,11784,151,3.29,3.05,4.16,3.83,2388.5495
Hyderabad,Jubilee Hills,10165,23824,8.1,162,1.56,1.31,2.41,0.65,102,1,7.4,7.0,8.3,172,8.2,11835,78,3.44,3.69,2.59,4.35,2388.5355
Pune,Kothrud,10164,52310,8.1,158,1.73,3.24,1.96,0.91,80,1,7.4,6.3,9.1,173,8.7,11836,77,3.27,1.7599999999999998,3.04,4.09,2388.449
Mumbai,Kandivali West,10134,48079,9.1,208,2.14,2.84,2.77,0.88,99,1,7.9,6.4,8.2,213,9.299999999999999,11866,37,2.86,2.16,2.23,4.12,2388.4055000000003
Chennai,Adyar,10139,23678,5.5,201,1.62,3.46,2.53,0.98,67,1,9.0,6.7,9.3,206,5.8,11861,44,3.38,1.54,2.47,4.02,2388.2115000000003
Chennai,Porur,10207,39473,7.8,112,2.5,2.15,2.27,0.24,103,1,7.8,7.6,7.1,117,8.1,11793,133,2.5,2.85,2.73,4.76,2388.1259999999997
Hyderabad,Banjara Hills,10136,27069,7.2,205,1.91,1.62,1.41,0.35,117,1,9.0,8.1,5.8,215,7.3,11864,35,3.09,3.38,3.59,4.65,2387.8064999999997
Chennai,Velachery,10152,32924,6.3,182,3.23,2.47,0.65,0.96,106,1,6.1,8.5,5.6,187,6.6,11848,63,1.77,2.53,4.35,4.04,2387.6535
Bengaluru,Whitefield,10154,46635,8.6,189,2.51,2.28,0.46,0.49,109,1,8.4,9.0,6.8,197,9.1,11846,53,2.49,2.72,4.54,4.51,2387.6140000000005
Bengaluru,BTM Layout,10186,38119,7.5,147,1.76,1.53,1.18,1.01,96,1,8.6,7.7,8.2,155,8.0,11814,95,3.24,3.4699999999999998,3.8200000000000003,3.99,2387.353
Pune,Aundh,10187,18582,8.9,137,2.55,1.74,0.53,0.96,66,1,8.0,7.2,5.8,152,9.5,11813,98,2.45,3.26,4.47,4.04,2387.0579999999995
Mumbai,Powai,10165,27044,8.7,174,1.97,2.29,1.06,0.94,78,1,6.3,7.5,6.1,179,8.899999999999999,11835,71,3.0300000000000002,2.71,3.94,4.0600000000000005,2386.911
Bengaluru,HSR Layout,10159,23261,6.5,185,2.17,1.71,1.61,0.42,100,1,7.7,9.4,7.9,193,7.0,11841,57,2.83,3.29,3.3899999999999997,4.58,2386.8635000000004
Pune,Hinjewadi,10134,25289,6.4,205,1.86,2.63,2.85,1.06,107,1,7.8,6.9,7.9,220,7.0,11866,30,3.1399999999999997,2.37,2.15,3.94,2386.84
Hyderabad,Kondapur,10205,46239,6.3,116,1.15,1.74,2.37,0.58,77,1,7.6,8.1,6.1,126,6.3999999999999995,11795,124,3.85,3.26,2.63,4.42,2386.7739999999994
Chennai,Porur,10155,19490,9.4,196,1.73,2.74,2.41,0.49,63,1,8.0,7.4,9.0,201,9.700000000000001,11845,49,3.27,2.26,2.59,4.51,2386.7695
Bengaluru,Indiranagar,10226,18011,5.7,93,1.76,2.83,2.46,0.65,119,1,6.8,8.9,8.5,101,6.2,11774,149,3.24,2.17,2.54,4.35,2386.5950000000003
Delhi NCR,Dwarka Sec 12,10193,37994,6.7,123,1.51,1.58,1.65,0.69,109,1,7.4,7.1,5.9,143,6.3,11807,107,3.49,3.42,3.35,4.3100000000000005,2386.3105
Hyderabad,Banjara Hills,10223,47560,9.1,103,1.68,1.61,2.3,0.47,67,1,7.1,7.6,8.2,113,9.2,11777,137,3.3200000000000003,3.3899999999999997,2.7,4.53,2386.066
Bengaluru,Marathahalli,10158,42527,8.1,192,1.17,2.01,1.12,0.46,111,1,6.3,8.4,7.6,200,8.6,11842,50,3.83,2.99,3.88,4.54,2385.911
Bengaluru,BTM Layout,10167,64302,8.2,177,2.98,1.02,2.12,1.1,75,1,6.0,9.1,6.6,185,8.7,11833,65,2.02,3.98,2.88,3.9,2385.867
Mumbai,Powai,10232,18360,9.3,97,1.56,2.77,0.88,0.7,102,1,7.7,6.7,6.5,102,9.5,11768,148,3.44,2.23,4.12,4.3,2385.5134999999996
Mumbai,Kandivali West,10142,43446,8.9,219,1.67,3.46,2.76,0.23,101,1,8.3,8.3,7.1,224,9.1,11858,26,3.33,1.54,2.24,4.77,2385.4820000000004
Hyderabad,Miyapur,10256,38488,6.4,61,1.92,1.18,1.33,0.23,91,1,7.3,8.8,6.8,71,6.5,11744,179,3.08,3.8200000000000003,3.67,4.77,2385.301
Bengaluru,Whitefield,10136,59726,6.5,219,1.54,1.76,1.66,0.43,110,1,6.2,6.9,7.1,227,7.0,11864,23,3.46,3.24,3.34,4.57,2385.2415
Bengaluru,Yelahanka,10211,31142,6.2,119,1.57,2.66,0.72,1.18,69,1,8.3,6.4,5.7,127,6.7,11789,123,3.4299999999999997,2.34,4.28,3.8200000000000003,2385.1055
Mumbai,Andheri East,10244,42681,8.2,81,1.03,2.36,1.48,0.65,83,1,6.4,6.1,7.5,86,8.399999999999999,11756,164,3.9699999999999998,2.64,3.52,4.35,2385.072
Chennai,Perungudi,10164,61311,8.6,191,1.56,2.71,0.68,0.55,114,1,7.2,7.4,6.1,196,8.9,11836,54,3.44,2.29,4.32,4.45,2384.8750000000005
Delhi NCR,Dwarka Sec 12,10133,41322,7.0,214,3.04,3.07,0.89,0.56,84,1,8.4,7.4,5.8,234,6.6,11867,16,1.96,1.9300000000000002,4.11,4.4399999999999995,2384.7160000000003
Bengaluru,JP Nagar,10220,60351,7.7,109,3.17,1.08,1.25,0.75,74,1,6.2,6.3,6.1,117,8.2,11780,133,1.83,3.92,3.75,4.25,2384.7125
Mumbai,Borivali West,10234,38013,7.5,99,2.45,1.35,0.74,0.87,113,1,9.1,6.6,5.8,104,7.7,11766,146,2.55,3.65,4.26,4.13,2384.5885000000003
Delhi NCR,Faridabad,10216,38551,8.9,109,1.73,2.96,0.89,1.1,91,1,6.2,8.7,7.0,129,8.5,11784,121,3.27,2.04,4.11,3.9,2384.5480000000002
Bengaluru,Rajajinagar,10203,62384,5.6,135,2.43,1.63,2.98,0.64,106,1,6.5,7.4,8.9,143,6.1,11797,107,2.57,3.37,2.02,4.36,2384.5229999999997
Delhi NCR,Ghaziabad,10204,47058,6.1,128,1.65,2.36,2.12,0.3,118,1,9.3,7.4,9.4,148,5.699999999999999,11796,102,3.35,2.64,2.88,4.7,2384.4855000000002
Mumbai,Thane West,10243,46233,6.3,90,3.02,2.39,2.61,0.48,102,1,9.1,7.9,8.7,95,6.5,11757,155,1.98,2.61,2.39,4.52,2384.425
Mumbai,Andheri West,10207,18156,6.6,137,3.18,2.65,1.79,0.51,93,1,6.8,9.1,8.6,142,6.8,11793,108,1.8199999999999998,2.35,3.21,4.49,2384.4055
Pune,Kothrud,10254,62293,7.5,68,1.4,2.97,2.96,0.22,109,1,7.1,9.2,8.7,83,8.1,11746,167,3.6,2.03,2.04,4.78,2384.3925
Chennai,Tambaram,10186,41016,7.4,162,2.61,2.14,1.3,0.81,85,1,7.0,7.4,5.8,167,7.7,11814,83,2.39,2.86,3.7,4.1899999999999995,2384.1960000000004
Chennai,T Nagar,10176,39702,7.7,180,1.67,1.05,2.9,0.42,100,1,9.4,6.2,6.6,185,8.0,11824,65,3.33,3.95,2.1,4.58,2384.1940000000004
Mumbai,Andheri East,10211,60785,8.0,129,2.69,2.84,2.18,0.54,93,1,6.1,6.9,6.2,134,8.2,11789,116,2.31,2.16,2.82,4.46,2383.8125
Hyderabad,Kukatpally,10149,30037,5.7,212,3.48,2.87,0.92,0.98,85,1,7.7,7.7,7.2,222,5.8,11851,28,1.52,2.13,4.08,4.02,2383.2625000000003
Chennai,OMR,10268,41951,7.3,62,2.81,3.07,0.99,0.44,92,1,6.9,9.1,5.9,67,7.6,11732,183,2.19,1.9300000000000002,4.01,4.56,2383.1285
Bengaluru,Electronic City,10174,38676,7.8,189,2.94,1.58,2.78,1.19,113,1,7.2,9.4,7.7,197,8.3,11826,53,2.06,3.42,2.22,3.81,2383.0265000000004
Pune,Hadapsar,10154,57181,9.0,216,3.23,1.64,2.81,0.79,87,1,7.8,9.3,9.0,231,9.6,11846,19,1.77,3.3600000000000003,2.19,4.21,2382.7045000000003
Mumbai,Andheri West,10202,35895,7.8,152,2.15,3.14,1.52,1.14,70,1,6.2,7.7,6.9,157,8.0,11798,93,2.85,1.8599999999999999,3.48,3.8600000000000003,2382.5574999999994
Delhi NCR,Faridabad,10233,23373,6.6,96,2.76,1.96,1.82,1.14,108,1,9.1,7.2,5.8,116,6.199999999999999,11767,134,2.24,3.04,3.1799999999999997,3.8600000000000003,2382.4230000000002
Chennai,Anna Nagar,10210,59447,6.0,146,2.23,1.94,0.53,0.94,66,1,9.5,8.0,5.7,151,6.3,11790,99,2.77,3.06,4.47,4.0600000000000005,2382.3790000000004
Hyderabad,Begumpet,10220,37055,9.4,136,1.02,3.14,2.78,1.07,95,1,8.4,8.3,9.1,146,9.5,11780,104,3.98,1.8599999999999999,2.22,3.9299999999999997,2382.2234999999996
Mumbai,Goregaon East,10248,62005,9.5,110,1.66,2.25,2.82,0.94,113,1,9.5,9.4,9.0,115,9.7,11752,135,3.34,2.75,2.18,4.0600000000000005,2381.8995
Bengaluru,BTM Layout,10164,39502,6.8,212,1.51,2.93,1.17,0.77,64,1,6.6,8.3,9.0,220,7.3,11836,30,3.49,2.07,3.83,4.23,2381.543
Hyderabad,HITEC City,10161,34181,8.5,215,2.51,2.08,1.33,0.31,60,1,8.3,8.3,6.5,225,8.6,11839,25,2.49,2.92,3.67,4.69,2381.5405000000005
Hyderabad,Miyapur,10217,30477,5.7,141,2.92,2.06,0.5,1.19,87,1,8.9,9.1,7.5,151,5.8,11783,99,2.08,2.94,4.5,3.81,2381.2745
Pune,Aundh,10187,42452,8.1,180,2.37,1.15,2.2,0.73,115,1,9.1,9.3,6.3,195,8.7,11813,55,2.63,3.85,2.8,4.27,2381.2325
Mumbai,Thane West,10180,18439,6.5,196,1.1,2.94,0.88,0.94,62,1,7.6,8.9,7.6,201,6.7,11820,49,3.9,2.06,4.12,4.0600000000000005,2381.1710000000003
Chennai,Porur,10185,60432,8.4,188,1.59,1.17,2.51,1.13,101,1,8.1,6.5,6.5,193,8.700000000000001,11815,57,3.41,3.83,2.49,3.87,2381.04
Chennai,T Nagar,10171,53715,8.8,212,1.04,1.0,2.14,0.26,80,1,8.4,7.5,5.9,217,9.100000000000001,11829,33,3.96,4.0,2.86,4.74,2380.8089999999997
Pune,Aundh,10207,28072,8.7,154,2.0,1.64,0.66,1.18,75,1,7.1,8.0,6.8,169,9.299999999999999,11793,81,3.0,3.3600000000000003,4.34,3.8200000000000003,2380.7279999999996
Hyderabad,Begumpet,10249,23283,9.2,103,1.15,2.22,1.48,0.69,88,1,6.1,7.5,7.7,113,9.299999999999999,11751,137,3.85,2.78,3.52,4.3100000000000005,2380.569
Delhi NCR,Noida Sec 62,10177,58214,6.3,190,2.84,2.67,2.5,0.38,106,1,8.5,9.3,8.4,210,5.8999999999999995,11823,40,2.16,2.33,2.5,4.62,2380.3665
Mumbai,Powai,10223,20438,8.5,147,1.45,2.11,0.96,0.73,112,1,6.6,7.2,9.2,152,8.7,11777,98,3.55,2.89,4.04,4.27,2380.2375
Mumbai,Navi Mumbai Vashi,10233,33705,8.4,134,1.16,2.78,1.29,0.29,61,1,6.1,8.8,8.1,139,8.6,11767,111,3.84,2.22,3.71,4.71,2380.1220000000003
Bengaluru,HSR Layout,10281,36204,6.1,66,1.47,1.1,1.28,0.95,79,1,7.8,6.7,8.8,74,6.6,11719,176,3.5300000000000002,3.9,3.7199999999999998,4.05,2379.9550000000004
Pune,Aundh,10171,59320,7.2,206,2.19,2.76,2.72,0.69,111,1,6.9,7.7,8.9,221,7.8,11829,29,2.81,2.24,2.28,4.3100000000000005,2379.7210000000005
Mumbai,Andheri East,10246,38008,7.8,114,2.38,3.49,2.04,1.17,112,1,8.8,7.0,6.2,119,8.0,11754,131,2.62,1.5099999999999998,2.96,3.83,2379.588
Mumbai,Kandivali West,10243,22893,6.2,113,1.48,2.61,2.27,0.43,63,1,6.8,6.2,6.2,118,6.4,11757,132,3.52,2.39,2.73,4.57,2379.5815000000002
Bengaluru,Yelahanka,10204,52401,8.2,167,2.9,1.85,2.01,0.24,106,1,6.4,6.8,6.6,175,8.7,11796,75,2.1,3.15,2.99,4.76,2379.525
Chennai,Sholinganallur,10270,48661,9.4,89,1.29,3.33,1.51,0.59,114,1,6.4,7.6,8.8,94,9.700000000000001,11730,156,3.71,1.67,3.49,4.41,2379.517
Hyderabad,Kondapur,10271,36856,5.7,78,3.02,2.29,2.98,0.32,110,1,9.3,8.9,6.4,88,5.8,11729,162,1.98,2.71,2.02,4.68,2379.4085000000005
Hyderabad,HITEC City,10242,47833,6.5,116,1.85,3.23,1.22,0.24,116,1,6.1,6.7,9.1,126,6.6,11758,124,3.15,1.77,3.7800000000000002,4.76,2379.3439999999996
Hyderabad,Manikonda,10270,32201,6.3,78,3.38,1.3,2.03,1.19,74,1,6.7,8.4,7.4,88,6.3999999999999995,11730,162,1.62,3.7,2.97,3.81,2379.34
Bengaluru,Rajajinagar,10251,49264,9.1,108,2.31,3.29,2.16,0.72,85,1,7.4,7.1,6.6,116,9.6,11749,134,2.69,1.71,2.84,4.28,2379.3030000000003
Chennai,Perungudi,10195,43438,8.6,189,2.83,2.53,2.45,0.22,90,1,8.6,8.4,6.0,194,8.9,11805,56,2.17,2.47,2.55,4.78,2379.1705
Chennai,Adyar,10177,27929,6.7,214,1.02,2.6,2.07,0.52,102,1,8.2,6.8,8.9,219,7.0,11823,31,3.98,2.4,2.93,4.48,2379.0434999999998
Chennai,Sholinganallur,10237,45209,8.7,137,3.26,2.87,2.32,0.62,109,1,7.3,8.5,9.4,142,9.0,11763,108,1.7400000000000002,2.13,2.68,4.38,2378.9895
Chennai,Adyar,10204,58824,6.5,176,1.95,3.14,2.4,0.49,77,1,9.0,7.1,7.0,181,6.8,11796,69,3.05,1.8599999999999999,2.6,4.51,2378.8280000000004
Hyderabad,Miyapur,10183,37905,5.9,198,3.29,1.19,1.51,0.68,88,1,6.1,7.9,8.5,208,6.0,11817,42,1.71,3.81,3.49,4.32,2378.8245
Delhi NCR,Faridabad,10222,30812,5.5,136,3.46,3.08,1.57,0.75,69,1,8.8,8.9,5.9,156,5.1,11778,94,1.54,1.92,3.4299999999999997,4.25,2378.546
Pune,Kharadi,10238,54669,6.5,129,2.03,3.08,0.84,0.92,91,1,9.2,9.4,7.4,144,7.1,11762,106,2.97,1.92,4.16,4.08,2378.5445000000004
Hyderabad,Secunderabad,10242,22961,8.6,125,3.1,2.96,1.6,0.45,64,1,7.4,8.3,6.7,135,8.7,11758,115,1.9,2.04,3.4,4.55,2378.4085
Mumbai,Andheri West,10227,37302,6.0,150,1.52,2.71,0.94,0.51,66,1,8.6,6.1,8.6,155,6.2,11773,95,3.48,2.29,4.0600000000000005,4.49,2378.373
Bengaluru,Yelahanka,10266,45539,8.1,99,2.08,1.59,1.91,0.89,88,1,6.1,8.8,8.7,107,8.6,11734,143,2.92,3.41,3.09,4.11,2378.3295000000003
Mumbai,Malad West,10175,19170,6.2,218,2.65,2.44,2.64,0.49,112,1,8.7,7.5,7.3,223,6.4,11825,27,2.35,2.56,2.36,4.51,2378.292
Hyderabad,Manikonda,10267,35272,6.7,94,2.64,2.52,2.85,0.71,109,1,9.4,8.8,7.4,104,6.8,11733,146,2.36,2.48,2.15,4.29,2378.292
Hyderabad,Jubilee Hills,10289,20912,6.8,64,2.65,1.81,1.69,0.64,84,1,8.9,8.7,5.6,74,6.8999999999999995,11711,176,2.35,3.19,3.31,4.36,2378.1065000000003
Pune,Hinjewadi,10219,36745,8.4,151,2.49,3.17,2.37,0.54,87,1,7.1,6.1,8.1,166,9.0,11781,84,2.51,1.83,2.63,4.46,2378.0895
Mumbai,Powai,10190,47792,9.3,207,2.57,2.56,1.7,0.53,119,1,9.3,6.6,8.3,212,9.5,11810,38,2.43,2.44,3.3,4.47,2378.021
Bengaluru,Whitefield,10268,51751,7.8,97,1.1,1.51,2.89,1.18,70,1,8.0,9.0,6.0,105,8.3,11732,145,3.9,3.49,2.11,3.8200000000000003,2377.973
Bengaluru,HSR Layout,10272,28518,6.5,98,1.57,1.36,1.79,1.03,74,1,7.8,9.5,9.3,106,7.0,11728,144,3.4299999999999997,3.6399999999999997,3.21,3.9699999999999998,2377.7374999999997
Delhi NCR,Dwarka Sec 12,10250,53528,6.4,119,1.29,2.27,1.74,0.35,91,1,8.9,9.1,9.2,139,6.0,11750,111,3.71,2.73,3.26,4.65,2377.1025000000004
Hyderabad,Jubilee Hills,10217,40168,7.4,171,2.16,3.24,2.09,1.13,113,1,9.1,7.3,9.2,181,7.5,11783,69,2.84,1.7599999999999998,2.91,3.87,2376.932
Delhi NCR,Faridabad,10288,53580,8.4,65,2.83,1.88,2.93,0.95,109,1,7.6,7.2,8.2,85,8.0,11712,165,2.17,3.12,2.07,4.05,2376.6115
Bengaluru,Marathahalli,10209,46301,7.3,191,1.4,2.21,1.14,1.08,98,1,8.0,8.9,9.0,199,7.8,11791,51,3.6,2.79,3.8600000000000003,3.92,2376.4005
Bengaluru,Electronic City,10188,60079,8.7,219,2.83,2.53,0.86,0.69,76,1,7.5,8.0,8.8,227,9.2,11812,23,2.17,2.47,4.14,4.3100000000000005,2376.1884999999997
Chennai,Adyar,10264,32589,7.9,117,2.81,1.08,0.57,0.53,66,1,6.9,6.0,9.0,122,8.200000000000001,11736,128,2.19,3.92,4.43,4.47,2376.1765
Delhi NCR,South Delhi,10232,23512,5.6,141,2.69,2.05,2.27,1.04,87,1,9.5,6.2,8.5,161,5.199999999999999,11768,89,2.31,2.95,2.73,3.96,2376.0925
Hyderabad,Gachibowli,10211,34953,7.3,185,3.37,1.8,0.96,0.57,100,1,6.7,8.3,9.3,195,7.3999999999999995,11789,55,1.63,3.2,4.04,4.43,2375.97
Chennai,Velachery,10307,32950,8.2,61,2.9,3.34,1.35,0.44,66,1,7.7,6.6,8.2,66,8.5,11693,184,2.1,1.6600000000000001,3.65,4.56,2375.7455
Bengaluru,JP Nagar,10193,41314,8.5,209,2.06,2.67,2.29,1.03,88,1,7.9,6.0,6.8,217,9.0,11807,33,2.94,2.33,2.71,3.9699999999999998,2375.5675
Pune,Wakad,10207,24946,6.2,184,1.58,2.68,1.57,0.7,87,1,7.5,6.8,8.0,199,6.8,11793,51,3.42,2.32,3.4299999999999997,4.3,2375.5454999999997
Mumbai,Andheri West,10300,52169,6.8,74,3.41,1.5,0.56,0.32,104,1,6.4,7.4,8.9,79,7.0,11700,171,1.5899999999999999,3.5,4.4399999999999995,4.68,2375.2065000000002
Pune,Viman Nagar,10244,22378,7.4,145,1.41,2.15,2.31,0.41,75,1,9.1,6.2,9.2,160,8.0,11756,90,3.59,2.85,2.69,4.59,2374.8830000000003
Mumbai,Goregaon East,10207,20558,8.5,203,1.95,1.38,1.02,0.77,76,1,7.0,7.2,7.8,208,8.7,11793,42,3.05,3.62,3.98,4.23,2374.807
Chennai,Anna Nagar,10251,63298,8.3,145,1.28,2.42,0.68,0.78,119,1,8.4,6.5,7.5,150,8.600000000000001,11749,100,3.7199999999999998,2.58,4.32,4.22,2374.7760000000003
Hyderabad,Kondapur,10222,21598,5.5,177,2.88,1.69,1.29,0.82,68,1,7.8,7.3,9.1,187,5.6,11778,63,2.12,3.31,3.71,4.18,2374.498
Chennai,Porur,10293,27907,9.5,90,1.19,2.17,0.84,0.65,73,1,6.8,6.7,6.7,95,9.8,11707,155,3.81,2.83,4.16,4.35,2374.4225
Hyderabad,Kondapur,10199,45781,6.9,211,1.42,3.16,1.09,0.22,114,1,8.7,6.3,8.5,221,7.0,11801,29,3.58,1.8399999999999999,3.91,4.78,2374.2915000000003
Mumbai,Andheri West,10224,58699,9.2,184,1.14,3.16,0.32,0.58,88,1,7.8,6.3,6.4,189,9.399999999999999,11776,61,3.8600000000000003,1.8399999999999999,4.68,4.42,2374.045
Delhi NCR,Gurgaon DLF Phase 3,10288,29555,8.6,88,1.97,1.72,1.26,0.92,98,1,8.1,9.3,7.1,108,8.2,11712,142,3.0300000000000002,3.2800000000000002,3.74,4.08,2373.9945
Mumbai,Navi Mumbai Vashi,10251,52586,6.4,149,1.41,2.98,0.56,0.55,68,1,8.4,6.4,8.3,154,6.6000000000000005,11749,96,3.59,2.02,4.4399999999999995,4.45,2373.8000000000006
Pune,Baner,10226,29361,9.2,181,1.32,2.73,1.82,0.53,118,1,8.6,6.1,9.4,196,9.799999999999999,11774,54,3.6799999999999997,2.27,3.1799999999999997,4.47,2373.4150000000004
Bengaluru,Marathahalli,10286,22346,7.4,105,2.14,1.45,0.91,0.99,72,1,9.1,6.5,8.0,113,7.9,11714,137,2.86,3.55,4.09,4.01,2373.4015000000004
Chennai,Porur,10300,52656,5.8,78,2.55,3.25,1.79,0.81,102,1,7.4,6.1,6.6,83,6.1,11700,167,2.45,1.75,3.21,4.1899999999999995,2373.3399999999997
Mumbai,Goregaon East,10287,34781,5.8,107,1.99,1.36,2.39,0.36,82,1,8.3,9.0,8.2,112,6.0,11713,138,3.01,3.6399999999999997,2.61,4.64,2373.2599999999998
Mumbai,Andheri West,10273,29608,7.3,124,1.03,2.93,2.91,0.51,72,1,7.8,6.1,9.4,129,7.5,11727,121,3.9699999999999998,2.07,2.09,4.49,2373.143
Pune,Viman Nagar,10256,46515,9.4,142,1.05,1.39,0.49,0.94,112,1,6.5,8.5,6.7,157,10.0,11744,93,3.95,3.6100000000000003,4.51,4.0600000000000005,2373.0945
Delhi NCR,Gurgaon DLF Phase 3,10270,18688,6.9,113,1.67,1.67,2.11,0.93,114,1,6.5,8.6,8.4,133,6.5,11730,117,3.33,3.33,2.89,4.07,2373.0930000000003
Pune,Hadapsar,10201,41119,6.5,211,2.42,1.87,2.2,0.74,86,1,7.8,7.8,7.9,226,7.1,11799,24,2.58,3.13,2.8,4.26,2372.9655000000002
Hyderabad,Banjara Hills,10234,44091,7.3,171,1.89,2.01,2.21,1.2,82,1,6.9,7.9,7.1,181,7.3999999999999995,11766,69,3.1100000000000003,2.99,2.79,3.8,2372.7785
Chennai,OMR,10233,48954,8.4,181,1.89,1.26,0.9,0.72,87,1,7.1,6.6,6.5,186,8.700000000000001,11767,64,3.1100000000000003,3.74,4.1,4.28,2372.5095000000006
Chennai,Tambaram,10271,52446,9.4,137,1.69,3.44,2.24,1.12,116,1,7.5,8.6,8.2,142,9.700000000000001,11729,108,3.31,1.56,2.76,3.88,2372.2265
Pune,Wakad,10308,59075,9.1,82,3.22,1.69,1.18,0.92,70,1,9.5,7.8,8.6,97,9.7,11692,153,1.7799999999999998,3.31,3.8200000000000003,4.08,2372.1985
Mumbai,Andheri East,10225,39762,8.9,198,1.02,2.58,0.86,1.12,95,1,6.8,7.8,7.5,203,9.1,11775,47,3.98,2.42,4.14,3.88,2372.013
Bengaluru,Electronic City,10212,42674,6.9,207,3.32,2.51,1.4,0.25,77,1,8.6,7.4,5.5,215,7.4,11788,35,1.6800000000000002,2.49,3.6,4.75,2371.953
Chennai,Guindy,10310,45166,6.1,84,1.57,1.86,2.49,0.96,117,1,8.3,6.8,8.7,89,6.3999999999999995,11690,161,3.4299999999999997,3.1399999999999997,2.51,4.04,2371.6679999999997
Mumbai,Borivali West,10214,30260,5.9,213,1.13,1.04,0.98,0.94,94,1,8.3,6.6,8.1,218,6.1000000000000005,11786,32,3.87,3.96,4.02,4.0600000000000005,2371.6615
Chennai,Guindy,10289,55338,8.2,119,2.74,1.51,2.37,1.1,78,1,7.4,8.6,8.5,124,8.5,11711,126,2.26,3.49,2.63,3.9,2371.1920000000005
Bengaluru,Rajajinagar,10300,31362,8.8,100,1.44,2.78,2.46,0.79,60,1,8.4,7.2,6.8,108,9.3,11700,142,3.56,2.22,2.54,4.21,2371.1045
Hyderabad,Manikonda,10319,41263,8.2,67,2.71,2.54,2.6,1.1,65,1,6.2,7.1,6.5,77,8.299999999999999,11681,173,2.29,2.46,2.4,3.9,2370.8325
Bengaluru,BTM Layout,10250,55536,9.2,170,3.06,2.24,1.94,0.72,97,1,6.8,7.0,7.9,178,9.7,11750,72,1.94,2.76,3.06,4.28,2370.456
Mumbai,Thane West,10236,35758,7.1,191,1.09,2.48,2.87,0.99,86,1,6.5,9.5,7.2,196,7.3,11764,54,3.91,2.52,2.13,4.01,2370.4105000000004
Mumbai,Thane West,10305,58581,6.2,96,1.78,3.47,2.76,1.08,67,1,6.3,7.3,9.2,101,6.4,11695,149,3.2199999999999998,1.5299999999999998,2.24,3.92,2370.2864999999997
Hyderabad,Begumpet,10328,39120,7.4,67,1.82,2.04,1.21,0.38,69,1,7.4,9.2,6.7,77,7.5,11672,173,3.1799999999999997,2.96,3.79,4.62,2370.2324999999996
Pune,Kharadi,10330,57369,9.2,64,2.04,2.59,0.58,0.29,112,1,8.0,8.7,6.6,79,9.799999999999999,11670,171,2.96,2.41,4.42,4.71,2370.1
Bengaluru,Indiranagar,10235,62390,8.6,198,3.06,2.65,0.74,0.93,107,1,9.1,7.8,8.3,206,9.1,11765,44,1.94,2.35,4.26,4.07,2370.068
