City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score
Mumbai,Andheri West,17849,47377,5.8,95,1.06,1.87,1.59,0.84,60,1,9.3,8.4,7.2
Mumbai,Navi Mumbai Vashi,16907,57715,7.4,138,2.64,2.4,0.82,0.43,83,1,9.5,7.9,9.3
Delhi NCR,Gurgaon DLF Phase 3,18743,46080,8.5,139,2.79,2.1,2.01,0.51,91,1,6.2,9.0,6.3
Bengaluru,Indiranagar,13569,50783,8.6,173,1.82,1.01,0.41,0.97,105,1,8.6,9.5,9.0
Bengaluru,JP Nagar,12606,56681,9.1,130,1.11,1.14,0.58,0.69,119,1,6.3,7.9,7.9
Bengaluru,Hebbal,14635,42347,6.0,196,1.64,2.55,1.21,0.57,116,1,6.9,6.9,6.2
Bengaluru,Hebbal,19080,63676,6.5,151,3.29,2.98,2.41,0.92,72,1,6.6,8.9,8.9
Pune,Hadapsar,9142,48618,7.4,155,3.35,1.02,0.81,0.55,107,1,8.8,7.7,8.1
Hyderabad,Jubilee Hills,7254,52849,5.5,188,3.31,3.36,1.62,0.78,88,1,7.2,9.4,9.3
Mumbai,Andheri West,5540,64143,7.1,103,1.92,1.24,0.71,0.91,82,1,9.4,6.1,6.6
Hyderabad,Begumpet,11342,19257,6.0,78,2.94,2.83,1.01,1.05,75,1,9.4,9.0,6.3
Pune,Wakad,16191,20642,6.3,156,2.52,1.46,0.38,0.67,91,1,7.6,6.6,8.7
Delhi NCR,Gurgaon DLF Phase 3,16267,21341,7.2,215,1.83,3.06,1.4,0.82,89,1,6.5,7.2,8.7
Chennai,Anna Nagar,6711,53927,7.8,60,2.56,3.12,0.33,0.47,96,1,8.6,9.2,9.0
Bengaluru,Marathahalli,17057,62511,7.9,189,2.16,1.42,2.0,0.54,77,1,7.0,8.1,8.7
Pune,Kothrud,12932,46552,8.3,60,2.5,3.24,2.02,0.21,83,1,9.4,8.7,6.5
Chennai,Porur,5606,46773,8.7,99,3.05,1.95,1.38,0.82,104,1,9.4,9.0,6.0
Bengaluru,Marathahalli,17409,23811,6.8,154,2.82,3.05,2.36,0.96,118,1,7.6,6.8,7.3
Hyderabad,Kukatpally,9809,25647,7.6,216,2.32,2.84,2.34,0.27,107,1,9.5,8.9,7.8
Chennai,Guindy,17317,55197,9.1,138,1.62,2.03,2.03,0.55,70,1,8.8,8.2,7.9
Delhi NCR,Ghaziabad,15576,25422,9.0,110,1.01,3.11,1.07,0.96,67,1,8.7,7.7,7.2
Bengaluru,Hebbal,8643,36943,7.1,131,3.17,2.91,0.89,0.2,84,1,7.2,7.6,8.0
Bengaluru,HSR Layout,5549,63270,5.5,198,2.54,2.3,2.4,0.78,79,1,9.3,9.0,7.1
Chennai,Anna Nagar,7009,30261,7.6,115,2.67,2.82,0.63,0.75,77,1,7.9,8.7,5.5
Bengaluru,Indiranagar,15887,27734,8.6,96,1.21,1.05,1.31,0.91,114,1,7.3,8.9,8.6
Mumbai,Bandra East,12514,49112,6.5,112,1.79,1.3,0.62,0.48,82,1,7.3,6.8,6.4
Bengaluru,Whitefield,14775,40907,6.6,90,2.4,2.96,0.87,0.72,116,1,6.3,9.5,9.1
Chennai,Anna Nagar,11786,21793,9.4,184,2.09,2.7,2.98,0.61,108,1,7.9,7.6,5.6
Delhi NCR,Dwarka Sec 12,6555,36914,5.6,171,1.22,2.68,0.84,0.93,93,1,8.4,7.4,7.8
Delhi NCR,Gurgaon DLF Phase 3,9550,40013,9.4,152,1.43,2.11,2.97,0.53,118,1,7.3,8.5,7.1
Hyderabad,Kondapur,15154,49446,8.4,149,1.05,3.04,1.59,0.28,66,1,7.9,6.8,6.3
Pune,Hinjewadi,9813,20200,7.7,151,3.0,1.34,2.16,0.81,93,1,7.2,9.3,9.3
Pune,Nigdi,17879,21252,8.7,62,2.59,2.83,0.56,0.42,95,1,7.2,7.5,7.9
Mumbai,Thane West,7604,56357,6.6,146,2.6,1.56,2.05,0.3,66,1,7.7,9.1,6.2
Pune,Wakad,8049,37630,7.0,93,1.36,3.03,1.88,0.94,105,1,8.6,6.1,7.1
Delhi NCR,Noida Sec 18,7421,57197,8.7,74,1.88,2.4,0.61,1.13,76,1,6.0,8.2,8.1
Mumbai,Malad West,14023,31463,5.6,184,2.18,1.75,1.69,1.02,86,1,7.1,8.7,7.2
Hyderabad,Gachibowli,17077,32292,7.4,183,1.99,2.43,2.98,0.74,82,1,8.1,7.4,7.6
Chennai,Sholinganallur,17805,29760,8.0,63,2.38,2.04,2.49,0.64,100,1,6.6,6.9,7.1
Hyderabad,Begumpet,6848,24094,5.5,170,2.67,1.12,0.85,1.14,92,1,8.0,6.9,8.2
Bengaluru,BTM Layout,13953,60454,9.1,64,1.72,1.91,0.45,0.72,94,1,6.6,9.1,8.9
Chennai,T Nagar,6658,18293,6.5,144,1.7,1.79,1.93,0.74,116,1,8.6,8.7,6.0
Delhi NCR,Noida Sec 62,18928,49389,8.3,195,1.62,1.38,1.68,0.83,114,1,6.4,6.7,8.4
Mumbai,Powai,17875,18175,6.4,146,3.43,1.53,2.48,0.44,85,1,6.2,9.0,8.8
Chennai,OMR,17805,44836,5.7,153,2.22,2.09,0.43,1.04,62,1,8.9,7.1,9.4
Chennai,Tambaram,13459,42091,7.8,160,2.02,3.22,2.78,0.64,67,1,6.9,8.5,7.4
Pune,Hinjewadi,12804,29801,7.5,72,2.24,2.63,1.09,1.12,77,1,7.6,6.3,6.6
Delhi NCR,Saket,9445,55258,5.6,128,2.6,2.32,2.26,0.64,65,1,6.4,6.9,8.7
Chennai,T Nagar,19755,41496,8.9,164,3.48,1.59,1.02,0.95,90,1,8.9,8.8,6.8
Delhi NCR,Dwarka Sec 12,15283,52907,6.3,121,3.37,2.77,1.42,0.47,104,1,7.7,6.6,9.3
Bengaluru,Electronic City,13025,41972,9.4,110,1.51,2.11,2.13,0.98,109,1,8.9,7.2,5.8
Bengaluru,Rajajinagar,11622,53537,6.3,157,3.34,2.99,2.75,0.76,75,1,8.6,8.0,9.3
Pune,Kharadi,7548,56247,7.8,100,3.28,2.84,0.54,1.07,86,1,6.4,7.3,8.8
Pune,Baner,14081,57215,9.3,66,3.11,1.51,2.05,0.97,64,1,8.9,8.5,7.5
Chennai,Velachery,10320,24615,6.5,200,2.61,2.75,1.63,0.73,72,1,9.5,9.1,8.3
Bengaluru,JP Nagar,18050,24551,7.0,102,2.58,1.44,2.36,0.39,85,1,7.3,9.2,8.9
Delhi NCR,Rohini Sec 15,9359,40421,6.4,176,3.18,2.76,1.11,0.45,78,1,9.3,7.1,5.6
Delhi NCR,South Delhi,8922,20209,8.3,95,3.44,2.88,2.41,0.48,71,1,6.6,6.2,6.6
Delhi NCR,Ghaziabad,19377,35519,8.4,109,1.08,3.23,2.38,0.8,65,1,6.7,8.8,6.8
Bengaluru,Indiranagar,5658,44255,6.9,140,2.03,1.25,1.16,1.09,80,1,9.0,8.4,7.6
Delhi NCR,Rohini Sec 15,18875,50672,7.3,161,1.86,3.19,2.49,0.87,94,1,8.9,6.5,8.2
Pune,Nigdi,17332,52954,8.8,180,2.63,1.23,2.6,0.36,83,1,7.0,9.3,8.2
Pune,Hinjewadi,14940,20433,8.4,201,3.32,2.88,0.96,1.2,99,1,9.3,8.1,6.6
Pune,Pimple Saudagar,13365,39162,8.4,130,1.03,3.18,0.67,1.08,98,1,7.4,7.7,6.0
Delhi NCR,Gurgaon DLF Phase 3,8193,41336,6.4,137,2.5,2.1,2.47,0.76,81,1,7.9,6.6,6.3
Chennai,Tambaram,13921,49704,7.8,135,1.56,1.3,2.54,0.78,108,1,8.9,6.5,9.3
Chennai,Anna Nagar,11941,35962,7.2,84,3.09,3.11,0.99,0.55,60,1,7.0,9.1,8.9
Chennai,Adyar,11433,50140,8.8,73,3.47,2.24,0.83,0.66,71,1,6.6,8.9,8.2
Bengaluru,Yelahanka,19891,59167,6.5,139,1.63,2.66,1.23,0.55,74,1,7.4,8.2,6.2
Delhi NCR,South Delhi,17040,50863,5.6,71,1.36,2.95,1.42,0.54,90,1,8.4,9.4,9.0
Delhi NCR,Dwarka Sec 12,16709,60732,7.4,190,3.34,2.8,2.88,1.07,69,1,7.5,8.1,8.0
Pune,Baner,11985,58592,7.5,213,3.45,2.27,0.4,0.46,110,1,8.1,6.7,8.7
Chennai,Adyar,7099,33147,5.8,98,2.56,3.15,1.16,0.23,112,1,6.2,6.6,7.3
Mumbai,Andheri West,9046,55516,5.9,73,2.23,1.9,1.55,0.61,106,1,6.4,7.4,6.6
Hyderabad,Kukatpally,5608,24034,9.1,157,2.65,2.99,2.5,0.8,61,1,6.5,8.8,6.4
Pune,Pimple Saudagar,9889,36646,7.1,83,2.62,1.93,0.91,0.72,93,1,9.1,7.4,8.5
Bengaluru,Hebbal,7567,30027,6.8,151,1.84,2.27,2.45,0.96,68,1,6.4,8.4,8.5
Hyderabad,Jubilee Hills,11445,43797,7.2,69,2.71,1.97,0.45,0.92,100,1,6.1,8.6,6.2
Pune,Wakad,14931,20242,8.4,63,3.21,3.27,0.4,0.7,118,1,9.4,8.3,6.6
Pune,Kharadi,14001,46403,6.0,204,1.24,3.24,2.69,0.82,77,1,9.4,8.6,6.8
Mumbai,Andheri East,18501,48583,8.4,175,1.28,3.15,1.28,0.42,94,1,7.5,6.6,7.3
Bengaluru,HSR Layout,14684,38119,6.6,141,3.01,1.31,1.77,1.13,113,1,6.9,8.6,8.3
Chennai,OMR,12552,19545,7.3,90,2.15,2.65,1.62,0.81,97,1,6.1,6.0,5.8
Mumbai,Andheri East,19680,29231,6.6,153,1.53,2.32,2.61,1.1,117,1,9.3,7.2,6.8
Delhi NCR,Saket,14521,62181,6.6,159,3.46,1.44,0.57,1.0,96,1,8.4,6.6,6.6
Mumbai,Malad West,6145,25619,5.6,184,1.22,1.84,2.15,0.61,80,1,8.6,9.2,7.0
Bengaluru,Marathahalli,19359,37798,8.6,214,2.64,3.27,1.55,0.52,99,1,6.8,8.3,8.7
Delhi NCR,Faridabad,17312,45526,7.7,198,1.12,2.8,1.75,0.92,65,1,9.1,6.8,7.9
Hyderabad,Miyapur,16499,61077,7.3,178,3.27,3.18,0.9,0.93,69,1,8.1,9.1,7.6
Delhi NCR,Faridabad,5885,32911,8.8,147,2.62,1.75,2.23,0.82,68,1,8.7,7.5,6.0
Delhi NCR,Saket,12709,29467,6.1,101,1.08,3.11,2.26,0.4,92,1,6.6,7.2,7.2
Mumbai,Navi Mumbai Vashi,9256,22528,9.2,194,2.97,1.12,0.35,0.93,62,1,9.2,6.8,8.3
Delhi NCR,Gurgaon DLF Phase 3,13569,51323,6.2,193,2.14,2.95,0.57,0.87,100,1,8.5,7.2,6.0
Pune,Aundh,13431,63085,9.3,218,2.74,1.79,1.75,0.33,81,1,6.6,9.3,8.7
Delhi NCR,Dwarka Sec 12,14805,61136,6.2,166,3.39,2.96,0.31,1.08,99,1,9.3,8.9,5.7
Hyderabad,Banjara Hills,18048,25504,7.4,75,3.12,2.04,1.26,0.39,112,1,8.8,9.1,8.6
Chennai,T Nagar,12831,54686,8.0,87,1.44,1.93,1.74,1.18,67,1,8.5,9.0,6.3
Mumbai,Andheri East,10276,19001,6.4,201,3.27,2.21,1.78,1.04,63,1,7.6,6.0,6.5
Bengaluru,HSR Layout,8048,52518,8.8,188,2.18,2.2,2.04,0.24,112,1,8.4,8.1,9.5
Bengaluru,Hebbal,18875,54286,9.3,152,2.76,1.31,1.24,0.22,84,1,6.4,6.8,7.3
Delhi NCR,Saket,8288,37195,5.6,212,1.97,2.91,0.81,0.26,104,1,9.1,6.6,8.4
Delhi NCR,Noida Sec 18,19369,37049,8.2,77,2.1,1.32,2.15,0.6,108,1,8.7,7.0,7.5
Pune,Wakad,12214,27288,7.8,91,2.82,2.57,0.45,1.1,77,1,9.0,7.3,6.3
Chennai,Anna Nagar,19659,32852,6.5,208,1.29,1.16,2.29,0.57,68,1,8.8,8.8,8.3
Chennai,Velachery,9428,47009,6.6,189,1.76,1.82,2.18,0.47,73,1,6.0,7.5,6.4
Pune,Kothrud,10489,41679,9.0,184,1.57,1.48,2.18,1.16,94,1,9.3,7.6,8.1
Mumbai,Andheri East,9338,47904,8.7,210,2.67,2.67,0.45,0.2,99,1,9.2,7.5,8.2
Pune,Hinjewadi,9547,33927,5.5,185,1.19,2.68,1.43,1.09,65,1,9.1,7.2,8.3
Bengaluru,Hebbal,12387,47099,9.3,98,2.46,1.73,2.98,0.94,105,1,9.1,8.3,7.3
Bengaluru,Marathahalli,18532,63322,5.7,206,2.88,3.2,2.49,0.41,106,1,6.8,8.2,5.8
Hyderabad,Banjara Hills,18483,51628,6.8,148,1.59,1.34,1.53,0.8,79,1,7.4,8.2,8.0
Chennai,Velachery,18832,37168,8.7,114,1.17,1.66,1.41,0.51,83,1,8.6,6.1,5.8
Bengaluru,Electronic City,13628,57857,5.8,177,2.44,2.14,0.52,1.17,75,1,7.8,7.8,9.0
Pune,Pimple Saudagar,10566,44877,9.0,93,1.34,2.44,1.13,0.67,80,1,7.2,9.4,7.6
Delhi NCR,Dwarka Sec 12,10222,23243,6.8,209,1.75,2.57,2.35,0.3,70,1,7.2,8.8,7.5
Hyderabad,HITEC City,11359,32229,6.7,100,1.03,2.22,1.4,0.48,104,1,6.9,6.5,7.7
Delhi NCR,Noida Sec 62,5765,24333,9.2,160,1.04,1.36,0.9,0.73,112,1,6.3,8.4,8.9
Chennai,Sholinganallur,5594,18683,9.2,207,2.97,2.94,2.31,0.92,92,1,7.7,6.8,9.5
Chennai,Velachery,18698,30841,7.4,151,2.97,3.39,1.02,1.05,90,1,6.0,7.4,6.2
Chennai,Sholinganallur,16947,58977,5.7,126,3.31,2.11,2.57,0.83,109,1,8.6,6.5,7.8
Pune,Pimple Saudagar,14719,45175,6.6,193,1.59,1.99,1.07,0.4,73,1,7.2,6.3,7.7
Hyderabad,Banjara Hills,14874,41790,9.4,166,1.86,2.32,2.18,0.55,61,1,8.1,9.1,9.1
Chennai,Guindy,12699,20554,7.0,127,2.25,1.29,2.65,0.68,118,1,8.9,6.5,9.1
Mumbai,Navi Mumbai Vashi,17632,61436,8.9,157,3.17,2.91,0.62,1.15,94,1,6.2,9.3,6.2
Pune,Aundh,17256,40187,5.8,165,1.14,1.88,1.45,0.75,103,1,9.4,6.6,6.8
Mumbai,Thane West,14436,22481,6.0,195,1.23,1.5,0.68,0.87,93,1,8.8,6.9,7.2
Hyderabad,HITEC City,15722,59649,8.5,85,1.35,1.32,1.05,0.96,76,1,8.6,7.3,6.3
Hyderabad,Kukatpally,9087,57360,6.9,131,1.04,1.32,2.29,0.67,63,1,6.7,7.6,9.2
Delhi NCR,Ghaziabad,7952,48689,6.8,65,2.5,2.08,2.35,0.78,111,1,8.0,7.8,5.7
Delhi NCR,Noida Sec 62,7192,62534,6.1,215,2.89,3.13,0.92,0.2,94,1,6.5,7.3,6.1
Mumbai,Malad West,16004,60552,5.9,117,2.28,3.43,0.82,1.05,76,1,8.3,9.2,8.8
Bengaluru,Electronic City,10212,42674,6.9,207,3.32,2.51,1.4,0.25,77,1,8.6,7.4,5.5
Hyderabad,Banjara Hills,7431,49434,7.5,98,1.98,1.09,2.36,0.36,116,1,6.8,6.9,7.1
Chennai,Tambaram,5801,54418,6.9,138,1.16,1.75,2.56,0.57,101,1,6.3,6.6,6.0
Bengaluru,Electronic City,14128,43378,8.9,208,1.38,1.6,2.19,0.94,82,1,6.2,6.6,6.5
Delhi NCR,Ghaziabad,11993,56402,7.0,120,2.72,2.18,0.56,1.05,61,1,8.2,6.7,9.0
Chennai,Porur,14219,25173,6.8,126,2.53,3.47,1.87,1.0,86,1,7.9,7.2,7.3
Delhi NCR,Dwarka Sec 12,6773,36860,9.1,97,2.16,1.27,1.25,0.87,64,1,8.2,6.8,9.4
Pune,Baner,14716,55339,9.2,124,2.53,3.04,0.39,0.96,82,1,7.1,9.2,8.2
Pune,Kothrud,13430,21765,8.7,163,2.55,2.32,0.31,0.64,61,1,9.1,6.9,6.8
Chennai,Tambaram,12072,24951,7.5,153,3.47,2.06,1.67,0.85,63,1,6.2,8.3,6.8
Hyderabad,HITEC City,7882,62322,8.4,127,1.55,1.54,1.32,1.18,82,1,6.7,6.5,8.0
Mumbai,Borivali West,14606,63959,8.8,143,2.79,3.47,2.3,1.04,104,1,8.5,6.7,7.9
Hyderabad,Jubilee Hills,13081,38470,9.1,126,2.5,1.63,1.24,0.25,94,1,9.0,7.9,8.5
Bengaluru,Hebbal,17062,23927,6.3,62,1.7,2.1,2.49,1.03,113,1,7.0,7.7,8.5
Hyderabad,Miyapur,15426,18251,9.2,77,1.26,2.76,0.39,0.25,71,1,7.2,6.2,6.3
Pune,Hadapsar,15945,64609,8.8,100,3.35,2.91,1.76,0.68,69,1,7.7,9.0,8.7
Mumbai,Thane West,12205,40939,9.3,214,1.87,1.41,0.32,0.28,76,1,8.7,6.3,8.4
Chennai,Velachery,13753,49163,7.7,182,2.6,2.25,1.98,0.64,74,1,9.2,9.2,6.3
Bengaluru,Rajajinagar,13283,33004,8.7,175,1.17,2.53,2.87,0.9,61,1,6.6,9.1,7.7
Delhi NCR,Noida Sec 62,11712,41448,6.0,199,2.75,1.64,1.61,0.86,63,1,6.4,6.0,6.5
Bengaluru,Rajajinagar,19338,60631,8.0,186,3.11,1.45,0.4,0.3,88,1,9.2,6.9,7.5
Mumbai,Powai,13602,22913,7.0,127,2.1,2.99,0.53,0.41,75,1,9.3,9.1,7.2
Chennai,Guindy,11856,41112,6.3,87,1.34,1.64,2.66,0.46,80,1,8.7,6.2,6.8
Hyderabad,Gachibowli,7647,19411,5.5,83,1.79,1.81,2.88,0.73,60,1,9.3,9.2,7.1
Mumbai,Borivali West,16431,52101,7.1,92,1.46,2.71,1.23,0.95,76,1,8.6,8.4,7.8
Bengaluru,Yelahanka,11959,55467,7.7,170,2.06,2.25,1.77,0.71,96,1,7.7,7.6,7.1
Hyderabad,Kukatpally,19523,59039,6.4,112,1.4,1.01,1.02,1.12,111,1,8.7,7.4,8.2
Chennai,Anna Nagar,7053,36919,5.6,163,1.88,3.47,0.88,0.38,83,1,9.0,6.3,8.9
Mumbai,Bandra East,14312,58454,6.8,66,1.86,1.62,0.66,0.23,68,1,8.8,7.9,7.3
Mumbai,Kandivali West,6763,18918,7.6,107,2.77,3.04,2.6,0.78,115,1,7.1,8.3,5.5
Delhi NCR,Noida Sec 62,10322,23808,5.7,177,1.33,3.27,0.63,0.29,90,1,8.2,8.8,6.6
Bengaluru,Yelahanka,10003,64074,6.2,208,1.85,2.78,2.34,0.7,90,1,7.3,7.7,8.4
Bengaluru,BTM Layout,17686,27855,6.1,121,1.0,1.91,1.94,0.97,94,1,7.8,6.2,8.6
Bengaluru,Indiranagar,9380,46928,6.0,92,2.66,3.25,2.02,0.99,105,1,7.2,7.2,9.2
Pune,Wakad,9672,27355,5.8,210,1.68,2.25,2.35,0.77,94,1,7.0,7.6,8.0
Pune,Aundh,11695,57634,6.5,131,1.2,1.57,2.48,0.86,109,1,8.5,6.9,6.8
Mumbai,Thane West,14712,43299,8.8,123,1.27,2.47,2.01,1.08,62,1,7.1,6.9,6.2
Mumbai,Navi Mumbai Vashi,17145,53437,8.8,180,2.44,2.4,2.74,0.49,61,1,8.2,9.0,9.4
Delhi NCR,South Delhi,18043,36504,8.0,210,3.2,2.97,1.84,1.01,112,1,6.0,8.3,8.6
Mumbai,Bandra East,5864,59155,9.3,194,2.41,2.53,2.59,0.29,119,1,7.3,8.5,7.3
Chennai,Sholinganallur,19790,20567,8.8,152,2.14,1.04,0.33,0.83,95,1,8.3,9.5,6.5
Pune,Hinjewadi,16872,46442,6.5,199,2.91,1.87,1.67,0.41,83,1,6.3,7.4,7.6
Bengaluru,Whitefield,7203,24787,7.9,85,2.06,2.76,1.8,1.07,100,1,7.0,9.2,8.4
Delhi NCR,Greater Noida,7582,21969,7.2,165,1.44,1.15,1.65,0.49,62,1,6.7,6.4,8.4
Delhi NCR,Saket,16478,32530,7.4,120,3.16,2.87,2.56,0.45,60,1,7.5,8.5,7.5
Pune,Baner,6235,29804,7.3,208,2.51,3.1,1.83,0.33,75,1,6.1,9.1,8.5
Bengaluru,BTM Layout,7479,64628,7.3,81,1.99,1.79,2.54,0.7,95,1,7.8,7.5,8.8
Pune,Hadapsar,15050,31477,9.0,152,1.28,3.48,0.39,0.56,83,1,6.1,8.1,6.1
Delhi NCR,Gurgaon DLF Phase 3,17112,48956,6.0,125,1.0,1.69,1.97,0.8,103,1,7.7,7.4,7.6
Chennai,OMR,19781,61921,6.7,93,2.2,2.97,2.66,1.16,101,1,6.9,6.2,7.6
Hyderabad,Banjara Hills,7191,59243,7.1,139,2.49,3.25,2.06,1.14,100,1,7.5,6.2,7.1
Delhi NCR,Faridabad,7909,57673,8.3,62,3.49,3.29,2.65,0.24,80,1,7.9,7.0,8.7
Hyderabad,Kondapur,6807,33458,7.9,206,2.58,3.39,2.99,0.71,69,1,8.0,7.4,6.7
Bengaluru,Marathahalli,12993,44066,6.6,93,1.76,2.61,1.34,1.15,69,1,8.5,6.3,8.2
Delhi NCR,South Delhi,12175,62004,7.3,116,1.88,1.01,0.54,0.33,97,1,8.8,6.5,7.3
Pune,Kharadi,11745,63215,7.5,64,3.33,2.42,1.6,1.07,103,1,9.4,6.4,8.4
Pune,Aundh,12504,23652,9.1,198,3.23,2.46,1.45,0.2,69,1,6.5,8.7,7.6
Mumbai,Andheri East,19969,37935,8.0,70,3.27,2.41,2.55,0.89,97,1,7.7,8.8,6.1
Mumbai,Kandivali West,19126,21205,8.9,162,1.97,3.06,0.74,1.09,100,1,6.9,6.4,6.0
Chennai,Velachery,7595,61618,8.1,117,2.3,3.47,0.66,0.88,86,1,7.1,7.2,8.7
Delhi NCR,South Delhi,16111,37382,5.7,209,2.02,1.55,0.62,0.21,109,1,8.7,6.8,6.5
Delhi NCR,Noida Sec 62,13119,54369,6.8,142,2.86,2.79,0.42,0.33,60,1,8.8,6.9,6.0
Chennai,T Nagar,16932,35035,8.6,172,3.02,2.69,0.89,0.73,70,1,8.0,8.7,7.6
Pune,Viman Nagar,5623,64813,5.8,185,2.02,1.45,0.62,0.42,96,1,9.4,6.5,8.5
Pune,Kharadi,6181,46485,7.9,212,3.34,3.28,0.44,0.39,83,1,8.3,7.4,6.4
Bengaluru,BTM Layout,17424,18479,7.3,93,1.96,2.4,2.82,0.69,77,1,7.0,7.0,9.4
Pune,Nigdi,12405,50300,6.1,136,3.47,1.37,2.04,0.23,100,1,8.2,8.1,6.8
Delhi NCR,Rohini Sec 15,9652,36019,5.6,204,2.36,1.67,0.8,0.48,73,1,8.1,7.8,8.3
Pune,Hadapsar,11783,55865,6.1,119,2.88,2.14,2.74,0.92,111,1,9.5,6.4,7.9
Bengaluru,JP Nagar,19026,39035,6.7,147,1.58,1.45,1.15,0.33,97,1,9.3,7.3,9.2
Delhi NCR,Greater Noida,10731,52555,7.4,97,2.6,1.4,2.17,0.2,74,1,8.0,7.4,8.2
Bengaluru,Marathahalli,9442,62527,9.0,96,1.69,1.63,0.42,0.66,70,1,7.3,8.0,7.2
Delhi NCR,Greater Noida,9492,38912,9.0,85,2.24,2.47,0.82,0.45,76,1,9.1,6.5,6.7
Chennai,T Nagar,9227,18717,8.5,150,1.4,1.09,2.19,1.19,70,1,9.3,8.9,7.8
Chennai,Tambaram,13246,49866,8.1,180,2.53,3.1,0.42,0.81,77,1,8.2,6.9,8.4
Delhi NCR,Faridabad,14208,34484,6.1,167,2.71,1.79,0.55,1.15,84,1,6.3,8.0,6.9
Pune,Baner,13102,19362,6.9,67,1.39,1.68,2.98,0.68,84,1,7.4,6.6,6.7
Bengaluru,JP Nagar,7961,18322,7.6,125,1.39,1.82,1.9,0.94,85,1,7.1,8.7,6.1
Mumbai,Bandra East,6759,41576,8.5,144,2.78,1.88,2.43,0.9,97,1,6.7,6.1,8.8
Chennai,Velachery,5711,33395,9.4,167,2.76,1.67,1.15,0.87,105,1,8.4,7.9,6.0
Hyderabad,Kondapur,8690,33313,7.5,82,3.36,2.95,1.28,0.8,71,1,7.2,9.5,8.0
Pune,Baner,13185,24023,6.3,208,1.16,1.98,1.96,0.98,70,1,6.4,7.7,9.3
Chennai,Adyar,8767,60195,6.1,167,1.99,3.23,2.83,0.87,99,1,7.0,6.4,5.5
Pune,Baner,14933,38314,9.0,167,1.17,1.68,2.38,0.68,113,1,7.8,6.1,7.8
Pune,Aundh,7628,46564,7.3,195,3.22,2.79,1.18,0.48,89,1,6.9,9.3,8.8
Delhi NCR,Dwarka Sec 12,16198,47466,7.4,219,3.41,1.23,0.58,0.59,107,1,7.7,7.3,9.1
Chennai,Anna Nagar,6952,36837,6.1,77,2.76,2.22,1.95,0.57,68,1,6.6,8.7,7.4
Pune,Baner,16112,59723,7.3,71,2.77,1.38,1.95,0.84,87,1,6.4,6.1,9.2
Pune,Kharadi,9243,24283,9.0,206,3.41,3.3,0.59,1.1,96,1,7.0,6.7,9.2
Mumbai,Borivali West,5654,45423,8.8,85,1.45,1.73,1.78,0.82,117,1,7.7,8.7,6.5
Delhi NCR,Saket,8577,46389,9.3,143,3.48,2.04,1.32,0.79,109,1,8.3,8.3,6.5
Bengaluru,Electronic City,11025,63675,7.4,194,2.73,3.35,0.78,0.72,76,1,8.4,8.1,8.4
Bengaluru,Rajajinagar,18147,26422,7.5,159,2.19,2.73,0.32,0.31,75,1,6.6,8.7,5.9
Chennai,Guindy,8860,31218,5.8,75,3.2,3.05,1.57,0.81,76,1,9.4,8.4,6.5
Hyderabad,Miyapur,15767,31336,5.9,160,1.95,2.22,0.77,0.99,72,1,6.9,6.4,8.4
Pune,Aundh,10516,52730,6.2,168,2.32,3.22,2.83,0.89,94,1,6.8,8.4,6.8
Hyderabad,Jubilee Hills,14548,49546,7.8,208,1.26,2.03,0.88,0.58,63,1,6.3,8.5,8.3
Mumbai,Bandra East,17502,48496,5.9,112,1.9,1.16,1.41,0.85,110,1,7.6,8.4,6.2
Bengaluru,Electronic City,19544,59677,9.2,129,1.94,3.34,0.89,1.01,111,1,6.9,6.2,6.7
Hyderabad,Secunderabad,18370,30891,6.0,194,3.21,2.66,2.63,1.08,98,1,8.5,6.4,7.4
Hyderabad,Miyapur,12681,46836,7.7,215,1.61,2.57,2.13,1.04,106,1,7.7,8.8,8.3
Mumbai,Malad West,12109,58446,8.4,174,1.93,2.66,1.69,0.24,73,1,7.7,8.6,6.8
Mumbai,Borivali West,19641,52858,7.5,134,2.24,3.13,2.15,0.61,86,1,7.9,8.4,7.4
Mumbai,Borivali West,19325,50767,7.0,154,2.98,3.04,1.91,0.25,69,1,6.6,6.7,7.9
Chennai,T Nagar,15435,38394,7.9,188,3.35,1.37,1.79,0.26,90,1,7.9,9.0,6.0
Chennai,Anna Nagar,7066,58148,6.7,207,1.74,2.33,2.31,1.03,86,1,6.7,6.6,6.5
Hyderabad,Secunderabad,9293,19660,6.7,204,3.25,2.94,2.55,0.49,84,1,9.2,7.4,7.5
Chennai,OMR,10979,20830,7.8,134,1.48,2.91,0.64,0.62,70,1,6.9,7.6,8.6
Delhi NCR,Ghaziabad,5587,38835,5.9,76,1.56,2.15,1.67,0.62,81,1,6.1,8.4,6.9
Chennai,Adyar,6380,48115,8.8,128,2.19,2.0,1.15,0.35,70,1,8.2,6.8,7.9
Mumbai,Andheri West,16548,51661,8.0,183,1.66,1.61,2.05,1.01,109,1,6.1,8.6,6.6
Mumbai,Navi Mumbai Vashi,12009,57669,9.5,186,1.07,1.19,0.52,0.26,80,1,8.8,6.6,8.9
